key,track,file,frame_w,frame_h,anims,parallax,repeat,note
npc.gray_merchant,pixel,res://assets/art_generated/packs/npc_gray_merchant.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.gray_merchant,illust,res://assets/art_generated/packs/illust_gray_merchant.png,0,0,,1.0,false,
npc.collector,pixel,res://assets/art_generated/packs/npc_collector.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.collector,illust,res://assets/art_generated/packs/illust_collector.png,0,0,,1.0,false,
npc.village_grocer,pixel,res://assets/art_generated/packs/npc_village_grocer.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.village_grocer,illust,res://assets/art_generated/packs/illust_village_grocer.png,0,0,,1.0,false,
npc.herb_granny,pixel,res://assets/art_generated/packs/npc_herb_granny.png,32,32,idle:0-3:6;walk:4-9:10;work:10-13:8;joy:14-15:4;sad:16-17:2,1.0,false,
illust.herb_granny,illust,res://assets/art_generated/packs/illust_herb_granny.png,0,0,,1.0,false,
room.guest_room,pixel,res://assets/art_generated/packs/room_guest_room.png,0,0,,1.0,false,
room.kitchen,pixel,res://assets/art_generated/packs/room_kitchen.png,0,0,,1.0,false,
room.workshop,pixel,res://assets/art_generated/packs/room_workshop.png,0,0,,1.0,false,
room.gate,pixel,res://assets/art_generated/packs/room_gate.png,0,0,,1.0,false,
room.storage,pixel,res://assets/art_generated/packs/room_storage.png,0,0,,1.0,false,
room.empty_lot,pixel,res://assets/art_generated/packs/room_empty_lot.png,0,0,,1.0,false,
room.study,pixel,res://assets/art_generated/packs/room_study.png,0,0,,1.0,false,
room.ondol_room,pixel,res://assets/art_generated/packs/room_ondol_room.png,0,0,,1.0,false,
region.r_yard.sky,pixel,res://assets/art_generated/packs/region_r_yard_sky.png,0,0,,0.0,false,
region.r_yard.far,pixel,res://assets/art_generated/packs/region_r_yard_far.png,0,0,,1.0,true,
region.r_yard.ground,pixel,res://assets/art_generated/packs/region_r_yard_ground.png,0,0,,1.0,true,
region.r_back_hill.sky,pixel,res://assets/art_generated/packs/region_r_back_hill_sky.png,0,0,,0.0,false,
region.r_back_hill.far,pixel,res://assets/art_generated/packs/region_r_back_hill_far.png,0,0,,1.0,true,
region.r_back_hill.ground,pixel,res://assets/art_generated/packs/region_r_back_hill_ground.png,0,0,,1.0,true,
region.r_stream.sky,pixel,res://assets/art_generated/packs/region_r_stream_sky.png,0,0,,0.0,false,
region.r_stream.far,pixel,res://assets/art_generated/packs/region_r_stream_far.png,0,0,,1.0,true,
region.r_stream.ground,pixel,res://assets/art_generated/packs/region_r_stream_ground.png,0,0,,1.0,true,
region.r_well.sky,pixel,res://assets/art_generated/packs/region_r_well_sky.png,0,0,,0.0,false,
region.r_well.far,pixel,res://assets/art_generated/packs/region_r_well_far.png,0,0,,1.0,true,
region.r_well.ground,pixel,res://assets/art_generated/packs/region_r_well_ground.png,0,0,,1.0,true,
region.r_ash_field.sky,pixel,res://assets/art_generated/packs/region_r_ash_field_sky.png,0,0,,0.0,false,
region.r_ash_field.far,pixel,res://assets/art_generated/packs/region_r_ash_field_far.png,0,0,,1.0,true,
region.r_ash_field.ground,pixel,res://assets/art_generated/packs/region_r_ash_field_ground.png,0,0,,1.0,true,
region.r_ash_field_deep.sky,pixel,res://assets/art_generated/packs/region_r_ash_field_deep_sky.png,0,0,,0.0,false,
region.r_ash_field_deep.far,pixel,res://assets/art_generated/packs/region_r_ash_field_deep_far.png,0,0,,1.0,true,
region.r_ash_field_deep.ground,pixel,res://assets/art_generated/packs/region_r_ash_field_deep_ground.png,0,0,,1.0,true,
region.r_gray_market.sky,pixel,res://assets/art_generated/packs/region_r_gray_market_sky.png,0,0,,0.0,false,
region.r_gray_market.far,pixel,res://assets/art_generated/packs/region_r_gray_market_far.png,0,0,,1.0,true,
region.r_gray_market.ground,pixel,res://assets/art_generated/packs/region_r_gray_market_ground.png,0,0,,1.0,true,
region.r_village.sky,pixel,res://assets/art_generated/packs/region_r_village_sky.png,0,0,,0.0,false,
region.r_village.far,pixel,res://assets/art_generated/packs/region_r_village_far.png,0,0,,1.0,true,
region.r_village.ground,pixel,res://assets/art_generated/packs/region_r_village_ground.png,0,0,,1.0,true,
region.r_moon_marsh.sky,pixel,res://assets/art_generated/packs/region_r_moon_marsh_sky.png,0,0,,0.0,false,
region.r_moon_marsh.far,pixel,res://assets/art_generated/packs/region_r_moon_marsh_far.png,0,0,,1.0,true,
region.r_moon_marsh.ground,pixel,res://assets/art_generated/packs/region_r_moon_marsh_ground.png,0,0,,1.0,true,
region.r_archive_gate.sky,pixel,res://assets/art_generated/packs/region_r_archive_gate_sky.png,0,0,,0.0,false,
region.r_archive_gate.far,pixel,res://assets/art_generated/packs/region_r_archive_gate_far.png,0,0,,1.0,true,
region.r_archive_gate.ground,pixel,res://assets/art_generated/packs/region_r_archive_gate_ground.png,0,0,,1.0,true,
prop.gather_point,pixel,res://assets/art_generated/packs/prop_gather_point.png,16,16,,1.0,false,
prop.farm_plot,pixel,res://assets/art_generated/packs/prop_farm_plot.png,16,16,,1.0,false,
prop.door,pixel,res://assets/art_generated/packs/prop_door.png,32,32,,1.0,false,
prop.water,pixel,res://assets/art_generated/packs/prop_water.png,32,16,idle:0-1:2,1.0,false,
prop.merchant,pixel,res://assets/art_generated/packs/prop_merchant.png,32,32,,1.0,false,
ui.panel,ui,res://assets/art_generated/packs/ui_brown.png,0,0,,1.0,false,
ui.chip,ui,res://assets/art_generated/packs/ui_grey.png,0,0,,1.0,false,
ui.button,ui,res://assets/art_generated/packs/ui_tan.png,0,0,,1.0,false,
